FID,Id,ORIG_FID,Id_1,Z (ft),POINT_X,POINT_Y,Lat,Long
0,0,0,0,221.7431143,1277982.1,240941.2,47.651001,-122.3040009
1,0,0,0,89.88722399,1277970.258,240910.6033,47.651001,-122.3040009
2,0,0,0,222.6501733,1277958.417,240880.0065,47.6509018,-122.3040009
3,0,0,0,42.08459396,1277946.575,240849.4098,47.6507988,-122.3040009
4,0,0,0,222.2775969,1277934.733,240818.8131,47.6506996,-122.3040009
5,0,0,0,222.6608338,1277922.83,240788.2401,47.6506004,-122.3040009
6,0,0,0,161.4369067,1277910.87,240757.6894,47.6505013,-122.3040009
7,0,0,0,4.563369083,1277899.329,240726.9869,47.6503983,-122.3040009
8,0,0,0,222,1277888.954,240695.8621,47.6503983,-122.3040009
9,0,0,0,165.30233,1277878.641,240664.7184,47.6502991,-122.3040009
10,0,0,0,166.9852608,1277869.795,240633.1252,47.6501999,-122.3040009
11,0,0,0,213.5238042,1277860.949,240601.5319,47.6501007,-122.3040009
12,0,0,0,221.0870068,1277852.178,240569.9177,47.6500015,-122.3040009
13,0,0,0,221.1344064,1277843.445,240538.2929,47.6498985,-122.3040009
14,0,0,0,223.0547954,1277835.392,240506.5057,47.6497993,-122.3040009
15,0,0,0,127.7015102,1277828.866,240474.3528,47.6497002,-122.3040009
16,0,0,0,223.4340246,1277822.341,240442.2,47.6497002,-122.3050003
17,0,0,0,220.3838277,1277817.15,240409.813,47.649601,-122.3050003
18,0,0,0,227.320305,1277812.337,240377.3596,47.6495018,-122.3050003
19,0,0,0,230.7375986,1277807.524,240344.9062,47.6493988,-122.3050003
20,0,0,0,208.0584026,1277787.72,240319.5443,47.6492996,-122.3050003
21,0,0,0,228.3199542,1277759.673,240303.442,47.6492996,-122.3050003
22,0,0,0,221.5027143,1277727.329,240298.5574,47.6492996,-122.3050003
23,0,0,0,162.2070763,1277694.709,240301.5366,47.6492996,-122.3050003
24,0,0,0,224.2597304,1277667.03,240317.7014,47.6492996,-122.3050003
25,0,0,0,224.310474,1277640.677,240337.2433,47.6493988,-122.3050003
26,0,0,0,148.0832186,1277614.324,240356.7852,47.6493988,-122.3050003
27,0,0,0,224.7327552,1277587.97,240376.3272,47.6495018,-122.3050003
28,0,0,0,224.3263683,1277561.617,240395.8691,47.6495018,-122.3059998
29,0,0,0,221.725027,1277535.263,240415.411,47.649601,-122.3059998
30,0,0,0,210.9348069,1277508.91,240434.9529,47.649601,-122.3059998
31,0,0,0,209.883137,1277482.552,240454.4888,47.6497002,-122.3059998
32,0,0,0,216.545619,1277456.176,240473.9996,47.6497002,-122.3059998
33,0,0,0,234.4895909,1277430.594,240494.5406,47.6497993,-122.3059998
34,0,0,0,227.1034627,1277405.011,240515.0815,47.6497993,-122.3059998
35,0,0,0,239.646935,1277379.429,240535.6225,47.6498985,-122.3059998
36,0,0,0,246.7341776,1277353.847,240556.1634,47.6498985,-122.3059998
37,0,0,0,222.0476621,1277328.264,240576.7044,47.6500015,-122.3069992
38,0,0,0,225.3079987,1277302.682,240597.2454,47.6501007,-122.3069992
39,0,0,0,221.084859,1277277.08,240617.7616,47.6501007,-122.3069992
40,0,0,0,209.448826,1277251.259,240638.002,47.6501999,-122.3069992
41,0,0,0,219.6211494,1277225.438,240658.2423,47.6501999,-122.3069992
42,0,0,0,218.6683892,1277199.618,240678.4827,47.6502991,-122.3069992
43,0,0,0,219.7409796,1277173.797,240698.723,47.6502991,-122.3069992
44,0,0,0,193.5246638,1277147.976,240718.9634,47.6503983,-122.3069992
45,0,0,0,217.9966501,1277122.155,240739.2038,47.6503983,-122.3069992
46,0,0,0,196.8959809,1277096.334,240759.4441,47.6505013,-122.3069992
47,0,0,0,212.4195025,1277070.534,240779.71,47.6505013,-122.3079987
48,0,0,0,223.0647442,1277044.793,240800.0518,47.6506004,-122.3079987
49,0,0,0,167.6600729,1277019.052,240820.3936,47.6506996,-122.3079987
50,0,0,0,220.9485696,1276993.311,240840.7355,47.6506996,-122.3079987
51,0,0,0,189.5059178,1276967.57,240861.0773,47.6507988,-122.3079987
52,0,0,0,220.6160693,1276941.829,240881.4191,47.6507988,-122.3079987
53,0,0,0,223.1969645,1276915.829,240901.4091,47.6509018,-122.3079987
54,0,0,0,223.2885139,1276888.758,240919.944,47.6509018,-122.3079987
55,0,0,0,218.4327436,1276861.687,240938.4789,47.651001,-122.3079987
56,0,0,0,222.2150437,1276834.616,240957.0138,47.651001,-122.3089981
57,0,0,0,187.7031788,1276808.012,240976.2103,47.6511002,-122.3089981
58,0,0,0,227.4133419,1276781.494,240995.5288,47.6511002,-122.3089981
59,0,0,0,152.9999051,1276754.977,241014.8473,47.6511993,-122.3089981
60,0,0,0,234.7861331,1276728.459,241034.1657,47.6511993,-122.3089981
61,0,0,0,152.6088075,1276701.941,241053.4842,47.6512985,-122.3089981
62,0,0,0,216.4408008,1276675.424,241072.8027,47.6512985,-122.3089981
63,0,0,0,186.9655812,1276649.412,241092.7918,47.6514015,-122.3089981
64,0,0,0,0,1276623.535,241112.9614,47.6514015,-122.3089981
65,0,0,0,224.5960271,1276597.659,241133.1309,47.6515007,-122.3099976
66,0,0,0,205.7078507,1276571.783,241153.3005,47.6515007,-122.3099976
67,0,0,0,235.3548745,1276545.907,241173.47,47.6515999,-122.3099976
68,0,0,0,179.9626419,1276520.031,241193.6396,47.6516991,-122.3099976
69,0,0,0,219.041752,1276494.155,241213.8092,47.6516991,-122.3099976
70,0,0,0,218.3167997,1276468.279,241233.9787,47.6517982,-122.3099976
71,0,0,0,215.1146477,1276442.402,241254.1483,47.6517982,-122.3099976
72,0,0,0,158.330404,1276416.526,241274.3178,47.6519012,-122.3099976
73,0,0,0,213.6421158,1276390.65,241294.4874,47.6519012,-122.3099976
74,0,0,0,215.7450356,1276364.774,241314.657,47.6520004,-122.3099976
75,0,0,0,225.5166245,1276338.898,241334.8265,47.6520004,-122.310997
76,0,0,0,217.7306962,1276313.022,241354.9961,47.6520996,-122.310997
77,0,0,0,232.6474429,1276286.985,241374.958,47.6520996,-122.310997
78,0,0,0,187.2933095,1276260.906,241394.8637,47.6521988,-122.310997
79,0,0,0,194.1032678,1276234.826,241414.7693,47.6521988,-122.310997
80,0,0,0,234.4282074,1276208.746,241434.675,47.6523018,-122.310997
81,0,0,0,215.0691126,1276182.665,241454.5787,47.6523018,-122.310997
82,0,0,0,192.6095919,1276156.584,241474.4821,47.652401,-122.310997
83,0,0,0,216.9534068,1276130.502,241494.3856,47.6525002,-122.310997
84,0,0,0,221.1162235,1276104.696,241514.639,47.6525002,-122.3119965
85,0,0,0,174.1982623,1276079.225,241535.3172,47.6525993,-122.3119965
86,0,0,0,218.8603722,1276053.753,241555.9955,47.6525993,-122.3119965
87,0,0,0,218.7125878,1276028.282,241576.6738,47.6526985,-122.3119965
88,0,0,0,223.4074819,1276002.81,241597.3521,47.6526985,-122.3119965
89,0,0,0,210.6534821,1275977.339,241618.0304,47.6528015,-122.3119965
90,0,0,0,238.066916,1275951.867,241638.7087,47.6528015,-122.3119965
91,0,0,0,243.3473149,1275926.396,241659.387,47.6529007,-122.3119965
92,0,0,0,222.8898369,1275900.925,241680.0652,47.6529999,-122.3119965
93,0,0,0,202.295632,1275875.535,241700.8439,47.6529999,-122.3130035
94,0,0,0,13.43295743,1275850.261,241721.7622,47.6530991,-122.3130035
95,0,0,0,220.6555755,1275824.986,241742.6806,47.6530991,-122.3130035
96,0,0,0,221.1903835,1275799.711,241763.599,47.6531982,-122.3130035
97,0,0,0,217.473371,1275774.437,241784.5173,47.6531982,-122.3130035
98,0,0,0,223,1275749.162,241805.4357,47.6533012,-122.3130035
99,0,0,0,223.8302162,1275723.887,241826.3541,47.6533012,-122.3130035
100,0,0,0,224,1275698.495,241847.1228,47.6534004,-122.3130035
101,0,0,0,221.8061953,1275675.585,241868.3618,47.6534996,-122.3130035
102,0,0,0,215.5806369,1275677.114,241901.1344,47.6534996,-122.3130035
103,0,0,0,215,1275678.35,241933.919,47.6535988,-122.3130035
104,0,0,0,213.6343742,1275679.487,241966.7076,47.6537018,-122.3130035
105,0,0,0,215.1970755,1275680.624,241999.4963,47.653801,-122.3130035
106,0,0,0,214.1532103,1275681.761,242032.2849,47.6539001,-122.3130035
107,0,0,0,212.5076593,1275682.901,242065.0734,47.6539993,-122.3130035
108,0,0,0,214,1275684.041,242097.862,47.6540985,-122.3130035
109,0,0,0,212.864316,1275685.18,242130.6505,47.6542015,-122.3130035
110,0,0,0,221.5812065,1275686.32,242163.439,47.6543007,-122.3130035
111,0,0,0,211.6842822,1275687.46,242196.2276,47.6543999,-122.3130035
112,0,0,0,182.8869087,1275688.599,242229.0161,47.6543999,-122.3130035
113,0,0,0,212.8415888,1275689.739,242261.8046,47.6544991,-122.3130035
114,0,0,0,213.1293675,1275690.879,242294.5932,47.6545982,-122.3130035
115,0,0,0,212.2368513,1275692.018,242327.3817,47.6547012,-122.3130035
116,0,0,0,213.1661119,1275693.158,242360.1702,47.6548004,-122.3130035
117,0,0,0,213.9046272,1275694.298,242392.9588,47.6548996,-122.3130035
118,0,0,0,213,1275695.437,242425.7473,47.6549988,-122.3130035
119,0,0,0,211.9684443,1275696.577,242458.5358,47.6551018,-122.3130035
120,0,0,0,212.976293,1275697.717,242491.3244,47.655201,-122.3130035
121,0,0,0,135.2630332,1275698.856,242524.1129,47.6553001,-122.3130035
122,0,0,0,192.6420637,1275699.996,242556.9014,47.6553001,-122.3130035
123,0,0,0,184.2191094,1275701.221,242589.6869,47.6553993,-122.3130035
124,0,0,0,214.1662012,1275702.456,242622.472,47.6554985,-122.3130035
125,0,0,0,212.1072371,1275703.69,242655.2571,47.6556015,-122.3130035
126,0,0,0,213,1275704.924,242688.0422,47.6557007,-122.3130035
127,0,0,0,213.381827,1275706.158,242720.8273,47.6557999,-122.3130035
128,0,0,0,214.9695145,1275707.392,242753.6124,47.655899,-122.3130035
129,0,0,0,214.9144886,1275708.627,242786.3975,47.6559982,-122.3130035
130,0,0,0,67.22105818,1275709.817,242819.1842,47.6561012,-122.3130035
131,0,0,0,190.4276926,1275711.001,242851.9712,47.6562004,-122.3130035
132,0,0,0,216.4240068,1275712.192,242884.7579,47.6562004,-122.3130035
133,0,0,0,213.921451,1275713.398,242917.5441,47.6562996,-122.3130035
134,0,0,0,191.2401181,1275714.604,242950.3302,47.6563988,-122.3130035
135,0,0,0,211.9917977,1275715.811,242983.1164,47.6565018,-122.3130035
136,0,0,0,216.8204794,1275717.017,243015.9025,47.656601,-122.3130035
137,0,0,0,226.4893803,1275718.223,243048.6887,47.6567001,-122.3130035
138,0,0,0,214.405923,1275719.43,243081.4748,47.6567993,-122.3130035
139,0,0,0,217.5224586,1275720.637,243114.2609,47.6568985,-122.3130035
140,0,0,0,113.0462056,1275721.845,243147.047,47.6570015,-122.3130035
