Index,Dist. Route (m),Elev. Lidar (ft),Elev. Lidar (m)
0,0,20.39012811,6.214911048
1,10,20.90288426,6.371199122
2,20,19.61897313,5.979863009
3,30,19.38595897,5.908840295
4,40,19.36808214,5.903391436
5,50,22.81448421,6.953854789
6,60,21.03449461,6.411313956
7,70,21.20000254,6.461760774
8,80,20.45864372,6.235794607
9,90,23.3815444,7.126694734
10,100,41.27470708,12.58053072
11,110,48.53753764,14.79424147
12,120,49.1103829,14.96884471
13,130,47.52507376,14.48564248
14,140,24.27507367,7.399042455
15,150,29.24321525,8.913332008
16,160,25.28627681,7.707257171
17,170,27.75028531,8.458286962
18,180,19.46389396,5.932594879
19,190,19.6561595,5.991197415
20,200,19.50004639,5.943614138
21,210,19.61652597,5.979117117
22,220,23.42518055,7.139995032
23,230,19.72554413,6.012345851
24,240,19.73144993,6.014145937
25,250,20.39012811,6.214911048
26,260,20.90288426,6.371199122
27,270,19.61897313,5.979863009
28,280,19.38595897,5.908840295
29,290,19.36808214,5.903391436
30,300,22.81448421,6.953854789
31,310,21.03449461,6.411313956
32,320,21.20000254,6.461760774
33,330,20.45864372,6.235794607
34,340,23.3815444,7.126694734
35,350,41.27470708,12.58053072
36,360,48.53753764,14.79424147
37,370,49.1103829,14.96884471
38,380,47.52507066,14.48564154
39,390,24.27580659,7.399265849
40,400,29.24337671,8.913381221
41,410,25.2845226,7.706722488
42,420,27.76076233,8.461480359
43,430,19.46351845,5.932480424
44,440,19.65605252,5.991164808
45,450,19.49931441,5.943391032
46,460,19.61597347,5.978948714
47,470,23.42257656,7.139201336
48,480,19.72549911,6.01233213
49,490,19.73144993,6.014145937
50,500,20.39012811,6.214911048
51,510,20.90288426,6.371199122
52,520,19.61897313,5.979863009
53,530,19.38595897,5.908840295
54,540,19.36808214,5.903391436
55,550,22.81448421,6.953854789
56,560,21.03449461,6.411313956
57,570,21.20000254,6.461760774
58,580,20.45864372,6.235794607
59,590,23.3815444,7.126694734
60,600,41.27470708,12.58053072
61,610,48.53753764,14.79424147
62,620,49.1103829,14.96884471
63,630,47.52506284,14.48563915
64,640,24.27767241,7.39983455
65,650,29.2437891,8.913506916
66,660,25.28005731,7.705361468
67,670,27.78749783,8.469629339
68,680,19.46255951,5.932188139
69,690,19.65577891,5.991081413
70,700,19.49744394,5.942820913
71,710,19.6145619,5.978518467
72,720,23.41432034,7.136684841
73,730,19.72527761,6.012264615
74,740,19.82871837,6.04379336
75,750,19.9104814,6.068714731
76,760,20.03037895,6.105259505
77,770,20.08339293,6.121418165
78,780,20.15541088,6.143369236
79,790,20.11653569,6.131520079
80,800,20.19837339,6.156464208
81,810,20.27235697,6.179014406
82,820,20.30665333,6.189467934
83,830,20.3731161,6.209725788
84,840,20.44205542,6.230738491
85,850,20.5668852,6.268786609
86,860,20.73986671,6.321511373
87,870,20.75621613,6.326494678
88,880,20.84554499,6.353722112
89,890,20.91141586,6.373799553
90,900,21.20614677,6.463633534
91,910,22.45607588,6.844611927
92,920,23.75228605,7.23969679
93,930,25.23888716,7.692812807
94,940,26.78560863,8.164253512
95,950,28.47012852,8.677695172
96,960,30.14325752,9.187664891
97,970,31.84983298,9.707829092
98,980,33.39493978,10.17877764
99,990,35.03024666,10.67721918
100,1000,36.51127738,11.12863735
101,1010,38.0195417,11.58835631
102,1020,39.43236898,12.01898606
103,1030,40.87145365,12.45761907
104,1040,42.06849972,12.82247871
105,1050,42.76953779,13.03615512
106,1060,43.32129286,13.20433006
107,1070,48.38706134,14.7483763
108,1080,53.7510571,16.3833222
109,1090,45.84093012,13.9723155
110,1100,44.04900632,13.42613713
111,1110,42.84080365,13.05787695
112,1120,42.81027994,13.04857333
113,1130,44.70972005,13.62752267
114,1140,43.98520399,13.40669018
115,1150,44.51093505,13.566933
116,1160,42.13057871,12.84140039
117,1170,42.01356557,12.80573479
118,1180,43.8767303,13.37362739
119,1190,41.7286053,12.7188789
120,1200,41.59167818,12.67714351
121,1210,41.40828619,12.62124563
122,1220,41.33605993,12.59923107
123,1230,41.17426804,12.5499169
