Index,Dist. Route (m),Elev. Lidar (ft),Elev. Lidar (m)
0,0,332.3318449,101.2947463
1,10,331.5857104,101.0673245
2,20,330.9005865,100.8584988
3,30,330.3096102,100.6783692
4,40,329.7103925,100.4957276
5,50,329.1232626,100.3167704
6,60,328.5341818,100.1372186
7,70,328.0198693,99.98045616
8,80,327.5172594,99.82726067
9,90,326.923084,99.64615601
10,100,326.2688432,99.4467434
11,110,326.9300461,99.64827806
12,120,324.7860123,98.99477655
13,130,324.1429422,98.7987688
14,140,323.4634783,98.59166818
15,150,322.7907218,98.38661201
16,160,322.0971066,98.1751981
17,170,335.0457971,102.121959
18,180,326.3339872,99.46659929
19,190,319.4024255,97.35385929
20,200,332.7051828,101.4085397
21,210,315.7682159,96.24615222
22,220,313.947791,95.69128669
23,230,312.0533519,95.11386167
24,240,315.9195705,96.29228508
25,250,308.4494876,94.01540381
26,260,306.587538,93.44788157
27,270,320.1976335,97.59623869
28,280,302.7731574,92.28525839
29,290,300.9700641,91.73567555
30,300,299.1366552,91.17685251
31,310,297.2904549,90.61413064
32,320,295.4148037,90.04243218
33,330,293.5510958,89.47437401
34,340,291.7069713,88.91228484
35,350,290.7095289,88.60826442
36,360,289.0393745,88.09920136
37,370,286.4116797,87.29827999
38,380,283.8443384,86.51575435
39,390,281.3103837,85.74340496
40,400,284.0949733,86.59214786
41,410,276.2707183,84.20731493
42,420,275.1747835,83.87327402
43,430,272.4843392,83.05322659
44,440,268.3672652,81.79834244
45,450,265.8484655,81.03061228
46,460,263.2595809,80.24152027
47,470,291.6048607,88.88116154
48,480,258.1110187,78.67223849
49,490,255.4790346,77.87000976
50,500,257.4573591,78.47300306
51,510,250.456805,76.33923418
52,520,253.8396599,77.37032835
53,530,253.9948688,77.417636
54,540,246.0032772,74.9817989
55,550,256.0682065,78.04958935
56,560,247.5574041,75.45549676
57,570,248.9900935,75.8921805
58,580,241.3260145,73.55616922
59,590,241.2131909,73.52178058
60,600,244.7282867,74.59318178
61,610,233.7382527,71.24341941
62,620,241.2488924,73.5326624
63,630,219.4139697,66.87737797
64,640,224.1123146,68.3094335
65,650,226.6957112,69.09685279
66,660,199.7950038,60.89751716
67,670,195.4494104,59.57298028
68,680,192.6669534,58.72488739
69,690,186.6510634,56.89124413
70,700,182.2012956,55.53495489
71,710,181.6433251,55.3648855
72,720,181.6057175,55.3534227
73,730,190.5112999,58.06784421
74,740,182.6303731,55.66573771
75,750,183.2874855,55.86602558
76,760,184.0224653,56.09004741
77,770,184.8732746,56.34937408
78,780,200.2245879,61.02845439
79,790,186.6595885,56.89384256
80,800,187.5187474,57.15571419
81,810,188.2062548,57.36526646
82,820,189.0438842,57.62057592
83,830,189.7729338,57.84279022
84,840,199.8227447,60.90597258
85,850,191.4127628,58.3426101
86,860,191.9737859,58.51360994
87,870,192.7558027,58.75196865
88,880,193.4750108,58.97118331
89,890,213.4853773,65.070343
90,900,195.00648,59.43797512
91,910,195.7680716,59.67010823
92,920,196.4766354,59.88607846
93,930,197.1933257,60.10452567
94,940,197.9842153,60.34558881
